Own or Ren,Name of ap,Number of,Is the roo,Cost of re,Is parking,Cost of pa,How satisf,Comments o,Comments_1,Any final,NA_ID
Rent,Casa Blanca,"1",No,"920",Yes,"100","2",Very close to hospital and bus lines.,I didn't like Goldleaf as a management company. The fire alarm went off at 2 am at least once a month.,,"71"
Rent,Sauk Creek Apartment,"2",Yes,"650",Yes,Included,"4","A little far, very nice neighborhood, had a bus route.",,,"76"
Rent,Sauk Creek Apartment,"1",Yes,"450",Yes,Included,"4","Right on a bus route, however the weekly commute added up (~5 hrs on a bus per week). Neighborhood is becoming more expensive.","Becoming more expensive; equivalent bedroom is now $100 more in the span of 2 years.",,"76"
Own,Hickory Hollow condominiums,,,,,,"5",Great bus route.,,,"87"
Rent,,"2",Yes,"710",Yes,Included,"5",,,"I would try to live in the Kendall neighborhood as you can usually walk to class/work. Vilas area is a nice neighborhood and not too far away. Towards the east side, the WIlly St neighborhood is an awesome place to work and the restaurants, etc can outwe","87"
Rent,Harbor Arms Apartments,"1",No,"700",Yes,Included,"4","Access to buses that drops off at University Bay Dr, which is about a 10 minute walk from the hospital.","These apartments are being remodeled and are under new ownership, so the reviews online are not fully reflective of the current status.",I would suggest living close to a bus line so that you can easily get around campus/ to work during the week.,"87"
Rent,,"2",No,"500",Yes,Included,"4",Neighborhood has quick access to two grocery stores and numerous bus routes on University.,,,"90"
Rent,Norris Court Apartments,"2",Yes,"675",Yes,"50","5",Access to bus routes. Neighborhood environment. Grocery store and lakes nearby.,,,"92"
Rent,,"0",No,"775",Yes,Included,"5","Large studio apartments available that allow cats. Access to bus routes 2, 10, and 28. Short walk to Festival (grocery store). Quiet neighborhood that's close to Lake Mendota, near two parks.",,"Living downtown is fun and convenient if you like to go out. I like living slightly east of the capitol where the area is quiter, but I can still walk to the farmer's market and restaurants.","92"
Rent,Norris Court Apartments,"1",Yes,"820",Yes,"65","3","Nearby bus lines on Gorham/Johnson. 20 minute commute to WIMR by bus and a 20 minute walk from Capitol square. More urban than suburban, some noise on weekends, especially during concerts at Breese-Stevens. Most renters in the area were grad students and","Most other renters were grad students and young professionals. More urban than suburban, some noise on weekends, especially during concerts at Breese-Stevens.",,"92"
Rent,,"3",No,"550",Yes,"50","4","30 min commute via bus (2, 10, and 28 go straight to WIMR). Great restaurants, coffee shops, and bars nearby, and a short bus ride to the capitol square. One downside is that the neighborhood is nearly entirely older houses that have been converted into",,,"92"
Rent,Galaxie High Rise Apartments,"1",No,"1500",Yes,"150","3",,,,"92"
Rent,Dayton Place Apartments,"2",No,"650",No,,"4","Close to the engineering campus and Union South. A bit far removed from grocery stores, unless you count the Kwik Trip. Football gamedays were loud.",No parking.,,"123"
Own,Holborn Village condominiums,,,,,,"5",I drive into work and pay for parking at the hospital.,,"If you're willing to room with someone, I think that is the best option. Gind a place directly on a bus route to the hospital.","143"
Rent,,"2",Yes,"600",Yes,Included,"5",Close to major bus routes on University. 10 minute walk to WIMR. Neighborhood is mostly families or older people. Very suburban and quiet on weekends.,,,"157"
Rent,,"1",Yes,"950",Yes,Included,"3","Very close to WIMR, bus routes, grocery stores, etc.",,There are a lot of great areas to live in Madison and apartment prices are pretty dependent on how far the location is from campus/downtown. Parking permits for the lots near WIMR can be expensive and tough for students to get since they cater to UW Hosp,"157"
Rent,Harvey Street Apartments,"2",Yes,"492",Yes,"25","5",,,,"157"
Rent,Harvey Street Apartments,"2",No,"472.5",Yes,"25","4",Great location.,Great location but poor soundproofing.,Uncovered parking is certainly an issue in the winter.,"157"
Rent,Les Chateaux Apartments,"3",Yes,"350",Yes,Included,"5",Close to WIMR,,,"157"
Rent,Heathercrest Apartments,"2",Yes,"550",Yes,Included,"4",Great for commuting during the weekdays but too far to come in on weekends without a car.,"It had free laundry in the basement, dishwasher, and garage.",,"77"
Own,Harbor House Condominiums,,,,,,"5",Not close to a bus line.,,,"169"
